Region,Year,Tourists_1000s
Africa,2010,127
Africa,2011,137
Africa,2012,155
Africa,2013,163
Africa,2014,164
Africa,2015,162
Africa,2016,171
Americas,2010,844
Americas,2011,952
Americas,2012,1083
Americas,2013,1166
Americas,2014,1099
Americas,2015,1261
Americas,2016,1405
ASEAN,2010,4534
ASEAN,2011,5594
ASEAN,2012,6281
ASEAN,2013,7282
ASEAN,2014,6641
ASEAN,2015,7962
ASEAN,2016,8658
EstAsia,2010,3632
EstAsia,2011,4751
EstAsia,2012,6244
EstAsia,2013,8629
EstAsia,2014,7962
EstAsia,2015,12023
EstAsia,2016,13006
Europe,2010,4442
Europe,2011,5101
Europe,2012,5650
Europe,2013,6305
Europe,2014,6161
Europe,2015,5759
Europe,2016,6170
MidEast,2010,569
MidEast,2011,601
MidEast,2012,605
MidEast,2013,630
MidEast,2014,597
MidEast,2015,638
MidEast,2016,747
Oceania,2010,789
Oceania,2011,933
Oceania,2012,1046
Oceania,2013,1021
Oceania,2014,942
Oceania,2015,924
Oceania,2016,905
SoAsia,2010,995
SoAsia,2011,1158
SoAsia,2012,1286
SoAsia,2013,1347
SoAsia,2014,1239
SoAsia,2015,1404
SoAsia,2016,1522
